sha,message,label,predicted,prob_CommitLabel.BugFix
0fdbdac63953120b626c7fdf192756f23e95571a,Set version for 0.10.0 release,CommitLabel.NonBugFix,0,0.06
30fec17901216753cfd6af1c8142592fce2644f1,Add a test for positional-fnks via positional-fn,CommitLabel.NonBugFix,0,0.02
d7340a55f0c5ee903ae19bc3a733907127eb4d99,Fix TODO,CommitLabel.NonBugFix,1,0.89
19c9306b7d48af34a8156e3a94447c68ed4902b0,better log message,CommitLabel.NonBugFix,1,0.62
979308570786c30291feb43b111306e5ffa8c0a1,note on how we intend to fix walk-term for IPersistentMaps,CommitLabel.NonBugFix,1,0.95
1863540842c9a5bb532d8fd75de6ede6cf5068ac,Fix semantic_rename/test.0002.,CommitLabel.NonBugFix,0,0.46
18804a91672b28cb9bf7a38fa1fe28d91f4ba30a,Tabs to spaces formatting fixes,CommitLabel.NonBugFix,1,0.6
712bfd41d426c767a5a413ecc24911e93bcf0b54,Fix console example (closes #201),CommitLabel.NonBugFix,1,0.77
f36ed6ec9caf15cc7cf7fe8ec8d631ee34748d97,"Add test.0012. No import statements issue.

For some reason local parsing fails if there are no import statements.",CommitLabel.NonBugFix,0,0.0
01167cb136c84a02fb92b9a7e3f09473ba571967,bump version,CommitLabel.NonBugFix,1,0.51
01ae902eff20b85715f6f4e7616531c4c5f81efc,chunkify with a zero-width regexp,CommitLabel.NonBugFix,1,0.9
01f3fe6dfd39e9a8fd83bb191840d50bc4c91648,"adding references() to compiled unit.

the compiled unit now contains a references() function. the references
is resolved from the compiled units declaration content, not the
compiled content.",CommitLabel.NonBugFix,0,0.27
01147d49b04d26c395d5b3e381110b49f8f6b3c9,* src/logos/match.clj: sketch,CommitLabel.NonBugFix,-1,0.5
01f784a733007f24fe7e4d162d985b1a4d460af8,update to register(),CommitLabel.NonBugFix,0,0.14
013466705504851f809adbbe8856164fa2182a61,bump version,CommitLabel.NonBugFix,1,0.51
fc13c0ebcb184a5fde3ae0eb17fe97e91555c107,"set ""deprecation"" and ""unchecked"" scalac settings according to scalacOptions key in sbt. fix for #120",CommitLabel.NonBugFix,1,0.69
042fb11e5359e481f6e091340c2c736357d1c897,Flag to exclude stdlib from output (refs #203).,CommitLabel.NonBugFix,1,0.86
041f119b138ad8cf52b3fc7877041257b397d0ba,add '--no-color' option,CommitLabel.NonBugFix,0,0.08
04cc49768b7689530228a56798174a93d0ad23b6,Made stripping of attributes future-compatible.,CommitLabel.NonBugFix,1,0.9
047aa496231b62db778d98cc2fdb9dfda17ccbb4,"add tracing for BEGIN/COMMIT/ROLLBACK

Traces the beginning and ends of transactions.",CommitLabel.NonBugFix,1,0.67
047ae71dc380f9fcc1b8572815aa0dcb047a1351,[overview] Suppress analyzer warnings.,CommitLabel.NonBugFix,-1,0.5
04107b960d1a5fc4ffbb45e5719d939f37989a03,"delete 'gecko' and 'konqueror' testing
http://rb.corp.taobao.com/r/23647/


git-svn-id: http://code.taobao.org/svn/tengine/trunk@33 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",CommitLabel.NonBugFix,1,0.75
1118a4f4b4f309121190cb15e24aa36263210747,Don't panic if you can't repeat a test failure,CommitLabel.NonBugFix,1,0.52
36f079e4e39e550bb599a459eb44e5d58a87c9f1,Prepare for next development iteration,CommitLabel.NonBugFix,0,0.23
09e082e6c36809f8d653d3a73b80e1fdf0ef6955,Use path.Join instead of simple Sprintf.,CommitLabel.NonBugFix,-1,0.5
09da66e0030e1c51750fc2f0c37a750013257ea3,"Remove project/boot lib references from build-definition descriptor

These directories/jars do not exist anymore in sbt 0.11+",CommitLabel.NonBugFix,0,0.45
00713ca48870d90b4a2d7a45212b22b6e14fd0b4,[core] Modernize NIIsPad.,CommitLabel.NonBugFix,-1,0.5
